Harga,Kategori,Lokasi,Rating,Skala,Tema,Angka tersewa,Nama event organizer
400000,Charity,Denpasar,3.3,Sedang (51-300 orang),Volunteering,79,Event Organizer AH
300000,Sport Event,Bandung,2.8,Kecil (10-50 orang),Endurance,30,Event Organizer AG
250000,Seminar/Webinar,Denpasar,4.7,Kecil (10-50 orang),Professional,35,Event Organizer AA
1200000,Wedding,Jakarta,4.8,Kecil (10-50 orang),Modern,65,Event Organizer L
600000,Sport Event,Yogyakarta,1.2,Sedang (51-300 orang),Sportsmanship,34,Event Organizer P
900000,Sport Event,Denpasar,2.9,Besar (300+ orang),Health,77,Event Organizer AF
750000,Seminar/Webinar,Bandung,1.8,Besar (300+ orang),Motivational,92,Event Organizer F
250000,Seminar/Webinar,Medan,1.8,Kecil (10-50 orang),Skill Development,49,Event Organizer AC
750000,Seminar/Webinar,Balikpapan,4.5,Besar (300+ orang),Professional,30,Event Organizer G
800000,Festival,Denpasar,3.1,Kecil (10-50 orang),Music,16,Event Organizer AL
250000,Seminar/Webinar,Palembang,2.1,Kecil (10-50 orang),Learning,40,Event Organizer H
1200000,Team Building,Semarang,1.8,Besar (300+ orang),Strategy,100,Event Organizer M
1000000,Corporate Gathering,Bandung,2.5,Sedang (51-300 orang),Professionalism,32,Event Organizer T
3600000,Wedding,Palembang,5.0,Besar (300+ orang),Elegant,62,Event Organizer Y
500000,Corporate Gathering,Medan,2.8,Kecil (10-50 orang),Strategy,51,Event Organizer N
250000,Seminar/Webinar,Denpasar,2.3,Kecil (10-50 orang),Learning,26,Event Organizer AM
900000,Sport Event,Semarang,2.1,Besar (300+ orang),Adventure,14,Event Organizer I
1600000,Festival,Makassar,3.5,Sedang (51-300 orang),Community,6,Event Organizer D
600000,Party,Makassar,3.0,Kecil (10-50 orang),Social,28,Event Organizer R
3600000,Wedding,Yogyakarta,2.1,Besar (300+ orang),Modern,29,Event Organizer V
250000,Seminar/Webinar,Bandung,4.4,Kecil (10-50 orang),Professional,54,Event Organizer I
600000,Charity,Bandung,4.5,Besar (300+ orang),Fundraising,50,Event Organizer I
700000,Competition,Balikpapan,4.0,Sedang (51-300 orang),Talent,78,Event Organizer J
1500000,Corporate Gathering,Palembang,1.9,Besar (300+ orang),Team Building,63,Event Organizer AE
1050000,Competition,Medan,2.0,Besar (300+ orang),Performance,2,Event Organizer AH
600000,Charity,Denpasar,1.1,Besar (300+ orang),Support,95,Event Organizer AH
350000,Competition,Yogyakarta,3.4,Kecil (10-50 orang),Challenge,53,Event Organizer H
1200000,Party,Jakarta,3.0,Sedang (51-300 orang),Music,11,Event Organizer O
500000,Seminar/Webinar,Balikpapan,3.7,Sedang (51-300 orang),Growth,44,Event Organizer W
1200000,Wedding,Semarang,1.5,Kecil (10-50 orang),Traditional,88,Event Organizer Z
300000,Sport Event,Surabaya,3.3,Kecil (10-50 orang),Competition,44,Event Organizer L
500000,Corporate Gathering,Semarang,1.2,Kecil (10-50 orang),Professionalism,43,Event Organizer AI
500000,Seminar/Webinar,Semarang,4.7,Sedang (51-300 orang),Motivational,100,Event Organizer Y
500000,Corporate Gathering,Makassar,1.5,Kecil (10-50 orang),Strategy,48,Event Organizer F
1800000,Party,Semarang,2.5,Besar (300+ orang),Themed,10,Event Organizer AD
1800000,Party,Yogyakarta,2.1,Besar (300+ orang),Entertainment,2,Event Organizer AH
500000,Seminar/Webinar,Surabaya,4.4,Sedang (51-300 orang),Learning,60,Event Organizer V
1800000,Party,Jakarta,1.6,Besar (300+ orang),Entertainment,98,Event Organizer P
500000,Corporate Gathering,Denpasar,2.5,Kecil (10-50 orang),Collaboration,73,Event Organizer L
1200000,Party,Medan,4.3,Sedang (51-300 orang),Celebration,90,Event Organizer L
1050000,Competition,Medan,2.4,Besar (300+ orang),Performance,71,Event Organizer AK
700000,Competition,Palembang,2.0,Sedang (51-300 orang),Challenge,7,Event Organizer G
400000,Charity,Denpasar,4.7,Sedang (51-300 orang),Awareness,55,Event Organizer AJ
800000,Festival,Denpasar,1.4,Kecil (10-50 orang),Arts,88,Event Organizer AG
2400000,Wedding,Balikpapan,2.9,Sedang (51-300 orang),Intimate,12,Event Organizer AA
2400000,Festival,Surabaya,2.9,Besar (300+ orang),Community,46,Event Organizer AK
200000,Charity,Jakarta,1.3,Kecil (10-50 orang),Awareness,57,Event Organizer F
800000,Festival,Makassar,1.5,Kecil (10-50 orang),Tradition,61,Event Organizer E
300000,Sport Event,Makassar,1.5,Kecil (10-50 orang),Endurance,56,Event Organizer AE
1200000,Wedding,Balikpapan,2.0,Kecil (10-50 orang),Classic,16,Event Organizer AM
1500000,Corporate Gathering,Palembang,3.2,Besar (300+ orang),Collaboration,80,Event Organizer X
300000,Sport Event,Palembang,3.7,Kecil (10-50 orang),Fitness,3,Event Organizer Y
300000,Sport Event,Medan,3.7,Kecil (10-50 orang),Competition,10,Event Organizer AM
1200000,Party,Medan,1.8,Sedang (51-300 orang),Dance,62,Event Organizer E
700000,Competition,Jakarta,3.6,Sedang (51-300 orang),Victory,14,Event Organizer T
2400000,Festival,Balikpapan,2.5,Besar (300+ orang),Arts,10,Event Organizer AL
500000,Corporate Gathering,Bandung,2.7,Kecil (10-50 orang),Collaboration,68,Event Organizer AC
400000,Charity,Palembang,4.1,Sedang (51-300 orang),Awareness,64,Event Organizer AF
250000,Seminar/Webinar,Palembang,1.5,Kecil (10-50 orang),Motivational,70,Event Organizer A
1800000,Party,Balikpapan,2.8,Besar (300+ orang),Fun,41,Event Organizer Z
1200000,Party,Balikpapan,5.0,Sedang (51-300 orang),Music,48,Event Organizer Z
500000,Corporate Gathering,Surabaya,3.2,Kecil (10-50 orang),Team Building,79,Event Organizer W
1050000,Competition,Bandung,1.3,Besar (300+ orang),Performance,30,Event Organizer V
2400000,Festival,Surabaya,3.1,Besar (300+ orang),Community,11,Event Organizer AG
400000,Team Building,Denpasar,3.5,Kecil (10-50 orang),Trust,91,Event Organizer V
500000,Seminar/Webinar,Medan,4.1,Sedang (51-300 orang),Educational,79,Event Organizer AL
600000,Party,Yogyakarta,2.5,Kecil (10-50 orang),Fun,3,Event Organizer Q
250000,Seminar/Webinar,Semarang,3.6,Kecil (10-50 orang),Growth,32,Event Organizer AA
1600000,Festival,Balikpapan,2.5,Sedang (51-300 orang),Culture,75,Event Organizer A
800000,Festival,Jakarta,2.2,Kecil (10-50 orang),Community,51,Event Organizer AN
250000,Seminar/Webinar,Balikpapan,4.1,Kecil (10-50 orang),Professional,21,Event Organizer AG
800000,Team Building,Bandung,4.6,Sedang (51-300 orang),Strategy,100,Event Organizer S
2400000,Wedding,Makassar,2.0,Sedang (51-300 orang),Classic,6,Event Organizer O
1600000,Festival,Surabaya,4.2,Sedang (51-300 orang),Tradition,56,Event Organizer R
1600000,Festival,Makassar,4.5,Sedang (51-300 orang),Celebration,26,Event Organizer AD
600000,Charity,Palembang,4.2,Besar (300+ orang),Fundraising,30,Event Organizer O
200000,Charity,Semarang,1.5,Kecil (10-50 orang),Fundraising,98,Event Organizer AA
1050000,Competition,Semarang,3.4,Besar (300+ orang),Challenge,26,Event Organizer D
350000,Competition,Palembang,3.8,Kecil (10-50 orang),Talent,68,Event Organizer AG
600000,Charity,Makassar,4.0,Besar (300+ orang),Giving,14,Event Organizer Y
3600000,Wedding,Medan,2.3,Besar (300+ orang),Traditional,54,Event Organizer AI
800000,Festival,Bandung,4.4,Kecil (10-50 orang),Music,33,Event Organizer AA
1600000,Festival,Denpasar,4.4,Sedang (51-300 orang),Arts,45,Event Organizer Z
1200000,Party,Surabaya,1.2,Sedang (51-300 orang),Fun,20,Event Organizer J
750000,Seminar/Webinar,Palembang,4.6,Besar (300+ orang),Motivational,79,Event Organizer AL
1200000,Party,Denpasar,2.5,Sedang (51-300 orang),Themed,34,Event Organizer O
1200000,Party,Medan,1.2,Sedang (51-300 orang),Social,27,Event Organizer G
400000,Team Building,Medan,4.5,Kecil (10-50 orang),Teamwork,65,Event Organizer AC
700000,Competition,Jakarta,2.7,Sedang (51-300 orang),Performance,19,Event Organizer U
500000,Corporate Gathering,Semarang,1.8,Kecil (10-50 orang),Professionalism,66,Event Organizer AJ
1500000,Corporate Gathering,Makassar,4.9,Besar (300+ orang),Networking,18,Event Organizer Y
1000000,Corporate Gathering,Palembang,4.9,Sedang (51-300 orang),Strategy,98,Event Organizer P
1200000,Party,Palembang,1.3,Sedang (51-300 orang),Social,1,Event Organizer W
900000,Sport Event,Makassar,1.5,Besar (300+ orang),Endurance,50,Event Organizer M
2400000,Festival,Jakarta,2.4,Besar (300+ orang),Arts,36,Event Organizer L
400000,Charity,Palembang,4.0,Sedang (51-300 orang),Volunteering,54,Event Organizer D
400000,Team Building,Jakarta,4.4,Kecil (10-50 orang),Problem Solving,89,Event Organizer E
1200000,Team Building,Jakarta,2.5,Besar (300+ orang),Trust,19,Event Organizer S
400000,Team Building,Denpasar,4.7,Kecil (10-50 orang),Strategy,86,Event Organizer T
1800000,Party,Surabaya,3.0,Besar (300+ orang),Entertainment,7,Event Organizer N
700000,Competition,Medan,3.6,Sedang (51-300 orang),Performance,6,Event Organizer Z
500000,Corporate Gathering,Makassar,1.6,Kecil (10-50 orang),Leadership,24,Event Organizer C
1200000,Party,Medan,2.4,Sedang (51-300 orang),Music,66,Event Organizer AI
2400000,Festival,Yogyakarta,2.0,Besar (300+ orang),Celebration,86,Event Organizer E
1600000,Festival,Denpasar,3.1,Sedang (51-300 orang),Arts,43,Event Organizer AC
600000,Sport Event,Makassar,4.8,Sedang (51-300 orang),Sportsmanship,55,Event Organizer Y
800000,Team Building,Palembang,3.8,Sedang (51-300 orang),Strategy,76,Event Organizer Z
300000,Sport Event,Makassar,4.5,Kecil (10-50 orang),Teamwork,57,Event Organizer T
500000,Corporate Gathering,Palembang,4.8,Kecil (10-50 orang),Team Building,18,Event Organizer D
500000,Seminar/Webinar,Surabaya,4.4,Sedang (51-300 orang),Innovation,83,Event Organizer C
300000,Sport Event,Makassar,4.6,Kecil (10-50 orang),Adventure,60,Event Organizer AB
1600000,Festival,Yogyakarta,1.4,Sedang (51-300 orang),Food,39,Event Organizer O
300000,Sport Event,Surabaya,2.7,Kecil (10-50 orang),Health,37,Event Organizer AF
2400000,Wedding,Bandung,3.5,Sedang (51-300 orang),Traditional,36,Event Organizer U
3600000,Wedding,Palembang,4.9,Besar (300+ orang),Romantic,39,Event Organizer M
2400000,Wedding,Palembang,3.9,Sedang (51-300 orang),Intimate,68,Event Organizer O
600000,Sport Event,Makassar,1.4,Sedang (51-300 orang),Endurance,46,Event Organizer Q
300000,Sport Event,Palembang,2.2,Kecil (10-50 orang),Adventure,44,Event Organizer Z
400000,Team Building,Makassar,4.4,Kecil (10-50 orang),Strategy,77,Event Organizer O
600000,Party,Balikpapan,2.7,Kecil (10-50 orang),Dance,15,Event Organizer T
1500000,Corporate Gathering,Makassar,4.9,Besar (300+ orang),Team Building,76,Event Organizer AB
1800000,Party,Yogyakarta,4.0,Besar (300+ orang),Celebration,72,Event Organizer AI
1800000,Party,Balikpapan,3.2,Besar (300+ orang),Fun,6,Event Organizer AI
2400000,Wedding,Balikpapan,4.5,Sedang (51-300 orang),Cultural,33,Event Organizer AK
750000,Seminar/Webinar,Medan,3.1,Besar (300+ orang),Innovation,5,Event Organizer L
350000,Competition,Makassar,4.3,Kecil (10-50 orang),Victory,48,Event Organizer Q
800000,Festival,Balikpapan,2.0,Kecil (10-50 orang),Food,66,Event Organizer C
2400000,Wedding,Makassar,3.8,Sedang (51-300 orang),Intimate,21,Event Organizer F
600000,Charity,Surabaya,1.2,Besar (300+ orang),Volunteering,67,Event Organizer V
1200000,Wedding,Palembang,3.4,Kecil (10-50 orang),Elegant,84,Event Organizer K
1200000,Team Building,Semarang,3.5,Besar (300+ orang),Communication,82,Event Organizer M
1800000,Party,Yogyakarta,4.5,Besar (300+ orang),Social,26,Event Organizer D
300000,Sport Event,Semarang,4.1,Kecil (10-50 orang),Endurance,25,Event Organizer K
600000,Sport Event,Jakarta,2.0,Sedang (51-300 orang),Endurance,15,Event Organizer X
750000,Seminar/Webinar,Balikpapan,1.5,Besar (300+ orang),Skill Development,67,Event Organizer G
500000,Seminar/Webinar,Jakarta,2.9,Sedang (51-300 orang),Skill Development,72,Event Organizer F
1050000,Competition,Balikpapan,2.5,Besar (300+ orang),Sportsmanship,66,Event Organizer S
1600000,Festival,Makassar,4.8,Sedang (51-300 orang),Food,7,Event Organizer D
1050000,Competition,Semarang,3.3,Besar (300+ orang),Excellence,89,Event Organizer J
250000,Seminar/Webinar,Yogyakarta,3.0,Kecil (10-50 orang),Skill Development,41,Event Organizer A
500000,Seminar/Webinar,Medan,3.9,Sedang (51-300 orang),Growth,97,Event Organizer Y
1200000,Team Building,Jakarta,4.5,Besar (300+ orang),Collaboration,94,Event Organizer T
2400000,Wedding,Jakarta,1.3,Sedang (51-300 orang),Traditional,31,Event Organizer U
800000,Festival,Makassar,1.8,Kecil (10-50 orang),Food,17,Event Organizer T
800000,Team Building,Jakarta,3.3,Sedang (51-300 orang),Teamwork,81,Event Organizer H
900000,Sport Event,Yogyakarta,2.7,Besar (300+ orang),Teamwork,66,Event Organizer N
300000,Sport Event,Balikpapan,4.9,Kecil (10-50 orang),Adventure,66,Event Organizer AI
1050000,Competition,Denpasar,3.8,Besar (300+ orang),Achievement,57,Event Organizer AD
1500000,Corporate Gathering,Medan,1.4,Besar (300+ orang),Leadership,30,Event Organizer C
800000,Festival,Surabaya,4.9,Kecil (10-50 orang),Tradition,97,Event Organizer Z
1050000,Competition,Yogyakarta,4.3,Besar (300+ orang),Excellence,72,Event Organizer N
1800000,Party,Balikpapan,4.6,Besar (300+ orang),Fun,88,Event Organizer H
700000,Competition,Medan,3.7,Sedang (51-300 orang),Achievement,62,Event Organizer AF
300000,Sport Event,Balikpapan,4.6,Kecil (10-50 orang),Fitness,65,Event Organizer AM
600000,Party,Medan,1.3,Kecil (10-50 orang),Social,34,Event Organizer AH
3600000,Wedding,Yogyakarta,3.2,Besar (300+ orang),Classic,8,Event Organizer U
500000,Corporate Gathering,Palembang,4.7,Kecil (10-50 orang),Team Building,23,Event Organizer B
200000,Charity,Jakarta,1.3,Kecil (10-50 orang),Volunteering,47,Event Organizer AE
900000,Sport Event,Palembang,3.6,Besar (300+ orang),Competition,10,Event Organizer AD
1800000,Party,Jakarta,2.1,Besar (300+ orang),Dance,11,Event Organizer W
500000,Corporate Gathering,Yogyakarta,4.0,Kecil (10-50 orang),Networking,74,Event Organizer Z
2400000,Festival,Surabaya,4.8,Besar (300+ orang),Arts,16,Event Organizer W
600000,Charity,Makassar,3.4,Besar (300+ orang),Giving,80,Event Organizer AI
1200000,Team Building,Denpasar,1.4,Besar (300+ orang),Communication,12,Event Organizer AN
1500000,Corporate Gathering,Medan,3.1,Besar (300+ orang),Professionalism,95,Event Organizer AL
2400000,Wedding,Denpasar,4.0,Sedang (51-300 orang),Cultural,69,Event Organizer AD
800000,Team Building,Balikpapan,2.1,Sedang (51-300 orang),Engagement,10,Event Organizer S
900000,Sport Event,Semarang,3.9,Besar (300+ orang),Endurance,75,Event Organizer U
1200000,Wedding,Balikpapan,2.2,Kecil (10-50 orang),Traditional,32,Event Organizer Y
600000,Charity,Bandung,2.6,Besar (300+ orang),Awareness,33,Event Organizer C
1200000,Wedding,Medan,1.3,Kecil (10-50 orang),Modern,49,Event Organizer G
400000,Team Building,Makassar,2.3,Kecil (10-50 orang),Problem Solving,100,Event Organizer F
600000,Charity,Makassar,4.9,Besar (300+ orang),Support,26,Event Organizer Z
3600000,Wedding,Balikpapan,4.0,Besar (300+ orang),Traditional,49,Event Organizer D
900000,Sport Event,Jakarta,4.9,Besar (300+ orang),Sportsmanship,45,Event Organizer AG
1200000,Party,Yogyakarta,3.8,Sedang (51-300 orang),Fun,93,Event Organizer AC
2400000,Festival,Surabaya,4.7,Besar (300+ orang),Food,100,Event Organizer AC
2400000,Wedding,Yogyakarta,2.2,Sedang (51-300 orang),Romantic,99,Event Organizer AN
200000,Charity,Palembang,3.5,Kecil (10-50 orang),Volunteering,76,Event Organizer AI
800000,Festival,Makassar,1.5,Kecil (10-50 orang),Community,70,Event Organizer K
1500000,Corporate Gathering,Medan,3.1,Besar (300+ orang),Collaboration,49,Event Organizer AL
2400000,Festival,Bandung,4.1,Besar (300+ orang),Culture,15,Event Organizer F
1200000,Party,Balikpapan,3.1,Sedang (51-300 orang),Themed,3,Event Organizer V
350000,Competition,Semarang,1.6,Kecil (10-50 orang),Achievement,58,Event Organizer E
1200000,Party,Semarang,4.0,Sedang (51-300 orang),Social,70,Event Organizer AK
200000,Charity,Bandung,4.6,Kecil (10-50 orang),Fundraising,35,Event Organizer Y
300000,Sport Event,Palembang,2.4,Kecil (10-50 orang),Endurance,87,Event Organizer AE
1800000,Party,Yogyakarta,2.6,Besar (300+ orang),Themed,51,Event Organizer Z
700000,Competition,Jakarta,3.9,Sedang (51-300 orang),Excellence,69,Event Organizer I
1000000,Corporate Gathering,Semarang,1.8,Sedang (51-300 orang),Collaboration,99,Event Organizer AD
1600000,Festival,Semarang,2.7,Sedang (51-300 orang),Celebration,36,Event Organizer B
600000,Sport Event,Semarang,1.5,Sedang (51-300 orang),Competition,23,Event Organizer M
400000,Charity,Denpasar,4.5,Sedang (51-300 orang),Fundraising,71,Event Organizer C
1050000,Competition,Yogyakarta,2.9,Besar (300+ orang),Excellence,39,Event Organizer C
3600000,Wedding,Denpasar,1.1,Besar (300+ orang),Elegant,42,Event Organizer S
600000,Sport Event,Bandung,4.7,Sedang (51-300 orang),Health,82,Event Organizer AM
1050000,Competition,Makassar,2.1,Besar (300+ orang),Talent,3,Event Organizer AA
600000,Sport Event,Jakarta,2.4,Sedang (51-300 orang),Teamwork,24,Event Organizer P
400000,Team Building,Jakarta,1.4,Kecil (10-50 orang),Strategy,40,Event Organizer U
1800000,Party,Balikpapan,5.0,Besar (300+ orang),Dance,3,Event Organizer Y
400000,Charity,Surabaya,3.9,Sedang (51-300 orang),Awareness,71,Event Organizer G
1050000,Competition,Semarang,1.9,Besar (300+ orang),Achievement,2,Event Organizer AM
400000,Charity,Semarang,4.2,Sedang (51-300 orang),Volunteering,81,Event Organizer N
800000,Team Building,Yogyakarta,1.4,Sedang (51-300 orang),Collaboration,93,Event Organizer T
800000,Team Building,Makassar,3.0,Sedang (51-300 orang),Engagement,68,Event Organizer K
3600000,Wedding,Surabaya,2.1,Besar (300+ orang),Classic,66,Event Organizer U
2400000,Festival,Balikpapan,3.2,Besar (300+ orang),Food,100,Event Organizer K
400000,Team Building,Makassar,2.4,Kecil (10-50 orang),Engagement,80,Event Organizer P
3600000,Wedding,Jakarta,2.7,Besar (300+ orang),Cultural,96,Event Organizer D
1200000,Team Building,Semarang,4.2,Besar (300+ orang),Teamwork,64,Event Organizer U
2400000,Wedding,Yogyakarta,2.4,Sedang (51-300 orang),Intimate,68,Event Organizer X
1000000,Corporate Gathering,Surabaya,4.8,Sedang (51-300 orang),Strategy,47,Event Organizer G
250000,Seminar/Webinar,Bandung,2.5,Kecil (10-50 orang),Learning,69,Event Organizer T
900000,Sport Event,Medan,4.7,Besar (300+ orang),Competition,2,Event Organizer Y
500000,Corporate Gathering,Jakarta,3.3,Kecil (10-50 orang),Innovation,14,Event Organizer N
250000,Seminar/Webinar,Palembang,1.6,Kecil (10-50 orang),Professional,57,Event Organizer AM
1500000,Corporate Gathering,Denpasar,3.8,Besar (300+ orang),Collaboration,24,Event Organizer X
400000,Team Building,Yogyakarta,1.3,Kecil (10-50 orang),Problem Solving,21,Event Organizer L
1600000,Festival,Bandung,1.2,Sedang (51-300 orang),Community,28,Event Organizer A
800000,Festival,Makassar,3.8,Kecil (10-50 orang),Community,49,Event Organizer T
800000,Team Building,Medan,3.5,Sedang (51-300 orang),Collaboration,79,Event Organizer AN
1600000,Festival,Jakarta,2.7,Sedang (51-300 orang),Tradition,25,Event Organizer K
900000,Sport Event,Denpasar,2.9,Besar (300+ orang),Adventure,11,Event Organizer E
2400000,Festival,Yogyakarta,4.7,Besar (300+ orang),Celebration,31,Event Organizer AI
750000,Seminar/Webinar,Palembang,1.1,Besar (300+ orang),Innovation,26,Event Organizer AC
300000,Sport Event,Yogyakarta,2.6,Kecil (10-50 orang),Adventure,87,Event Organizer AF
200000,Charity,Surabaya,1.2,Kecil (10-50 orang),Awareness,71,Event Organizer K
1050000,Competition,Surabaya,2.1,Besar (300+ orang),Performance,98,Event Organizer AM
200000,Charity,Denpasar,3.4,Kecil (10-50 orang),Fundraising,70,Event Organizer C
500000,Seminar/Webinar,Palembang,1.7,Sedang (51-300 orang),Professional,53,Event Organizer U
400000,Charity,Balikpapan,4.3,Sedang (51-300 orang),Fundraising,100,Event Organizer AI
800000,Festival,Medan,2.9,Kecil (10-50 orang),Culture,52,Event Organizer G
1800000,Party,Semarang,3.0,Besar (300+ orang),Music,26,Event Organizer AC
1500000,Corporate Gathering,Surabaya,4.0,Besar (300+ orang),Collaboration,84,Event Organizer L
3600000,Wedding,Denpasar,1.0,Besar (300+ orang),Intimate,86,Event Organizer Y
300000,Sport Event,Palembang,2.3,Kecil (10-50 orang),Health,73,Event Organizer N
1800000,Party,Yogyakarta,2.8,Besar (300+ orang),Dance,66,Event Organizer Z
350000,Competition,Jakarta,2.2,Kecil (10-50 orang),Excellence,94,Event Organizer M
1800000,Party,Makassar,2.9,Besar (300+ orang),Social,71,Event Organizer M
1000000,Corporate Gathering,Denpasar,4.9,Sedang (51-300 orang),Innovation,94,Event Organizer P
800000,Team Building,Balikpapan,2.1,Sedang (51-300 orang),Trust,75,Event Organizer X
1500000,Corporate Gathering,Medan,2.7,Besar (300+ orang),Innovation,58,Event Organizer AE
800000,Festival,Yogyakarta,3.1,Kecil (10-50 orang),Arts,80,Event Organizer AD
300000,Sport Event,Bandung,2.6,Kecil (10-50 orang),Adventure,52,Event Organizer R
2400000,Festival,Makassar,3.3,Besar (300+ orang),Tradition,46,Event Organizer AM
1050000,Competition,Palembang,4.2,Besar (300+ orang),Achievement,2,Event Organizer P
1200000,Party,Denpasar,3.5,Sedang (51-300 orang),Themed,11,Event Organizer K
350000,Competition,Jakarta,1.8,Kecil (10-50 orang),Sportsmanship,24,Event Organizer L
3600000,Wedding,Bandung,1.9,Besar (300+ orang),Classic,99,Event Organizer A
700000,Competition,Yogyakarta,1.6,Sedang (51-300 orang),Achievement,18,Event Organizer AM
750000,Seminar/Webinar,Surabaya,1.5,Besar (300+ orang),Learning,64,Event Organizer M
3600000,Wedding,Jakarta,3.9,Besar (300+ orang),Elegant,25,Event Organizer L
750000,Seminar/Webinar,Palembang,1.8,Besar (300+ orang),Learning,55,Event Organizer H
750000,Seminar/Webinar,Balikpapan,4.7,Besar (300+ orang),Motivational,23,Event Organizer A
400000,Charity,Semarang,3.2,Sedang (51-300 orang),Support,9,Event Organizer U
250000,Seminar/Webinar,Denpasar,4.5,Kecil (10-50 orang),Innovation,57,Event Organizer K
600000,Party,Semarang,2.9,Kecil (10-50 orang),Social,57,Event Organizer H
200000,Charity,Denpasar,4.8,Kecil (10-50 orang),Helping,53,Event Organizer S
1200000,Wedding,Medan,3.6,Kecil (10-50 orang),Traditional,86,Event Organizer AM
2400000,Festival,Bandung,4.3,Besar (300+ orang),Arts,28,Event Organizer Q
600000,Charity,Surabaya,1.5,Besar (300+ orang),Helping,73,Event Organizer E
250000,Seminar/Webinar,Makassar,4.8,Kecil (10-50 orang),Growth,82,Event Organizer D
900000,Sport Event,Surabaya,1.1,Besar (300+ orang),Teamwork,12,Event Organizer K
400000,Team Building,Surabaya,4.6,Kecil (10-50 orang),Engagement,83,Event Organizer AN
900000,Sport Event,Balikpapan,4.4,Besar (300+ orang),Health,81,Event Organizer AH
900000,Sport Event,Semarang,3.0,Besar (300+ orang),Health,8,Event Organizer AI
2400000,Festival,Surabaya,3.6,Besar (300+ orang),Celebration,42,Event Organizer AB
400000,Team Building,Palembang,3.5,Kecil (10-50 orang),Communication,46,Event Organizer B
1200000,Party,Semarang,2.8,Sedang (51-300 orang),Dance,46,Event Organizer K
350000,Competition,Palembang,2.3,Kecil (10-50 orang),Achievement,7,Event Organizer B
350000,Competition,Makassar,1.8,Kecil (10-50 orang),Performance,70,Event Organizer AN
600000,Party,Surabaya,3.1,Kecil (10-50 orang),Social,79,Event Organizer K
700000,Competition,Balikpapan,3.6,Sedang (51-300 orang),Victory,1,Event Organizer M
900000,Sport Event,Balikpapan,2.6,Besar (300+ orang),Health,68,Event Organizer Z
300000,Sport Event,Surabaya,3.8,Kecil (10-50 orang),Adventure,52,Event Organizer V
800000,Festival,Semarang,4.6,Kecil (10-50 orang),Music,77,Event Organizer E
1600000,Festival,Medan,3.8,Sedang (51-300 orang),Tradition,55,Event Organizer AL
2400000,Wedding,Denpasar,3.6,Sedang (51-300 orang),Traditional,96,Event Organizer K
600000,Charity,Yogyakarta,3.6,Besar (300+ orang),Giving,2,Event Organizer AK
600000,Sport Event,Surabaya,4.2,Sedang (51-300 orang),Endurance,13,Event Organizer A
350000,Competition,Palembang,2.2,Kecil (10-50 orang),Victory,60,Event Organizer L
350000,Competition,Denpasar,2.3,Kecil (10-50 orang),Victory,16,Event Organizer AJ
1000000,Corporate Gathering,Jakarta,4.2,Sedang (51-300 orang),Innovation,46,Event Organizer AJ
300000,Sport Event,Makassar,4.6,Kecil (10-50 orang),Sportsmanship,75,Event Organizer U
600000,Party,Denpasar,2.8,Kecil (10-50 orang),Fun,37,Event Organizer AI
1500000,Corporate Gathering,Bandung,4.7,Besar (300+ orang),Networking,55,Event Organizer AB
200000,Charity,Semarang,2.4,Kecil (10-50 orang),Volunteering,22,Event Organizer AK
1200000,Party,Balikpapan,3.0,Sedang (51-300 orang),Social,54,Event Organizer S
1200000,Party,Surabaya,1.8,Sedang (51-300 orang),Social,69,Event Organizer M
400000,Team Building,Denpasar,3.9,Kecil (10-50 orang),Engagement,57,Event Organizer AC
400000,Team Building,Denpasar,4.5,Kecil (10-50 orang),Communication,19,Event Organizer F
1200000,Team Building,Bandung,3.6,Besar (300+ orang),Strategy,53,Event Organizer K
1600000,Festival,Denpasar,2.4,Sedang (51-300 orang),Tradition,20,Event Organizer AJ
1600000,Festival,Medan,4.0,Sedang (51-300 orang),Celebration,2,Event Organizer O
1200000,Team Building,Denpasar,1.2,Besar (300+ orang),Strategy,80,Event Organizer B
1050000,Competition,Jakarta,3.1,Besar (300+ orang),Excellence,88,Event Organizer AM
900000,Sport Event,Makassar,3.9,Besar (300+ orang),Endurance,81,Event Organizer J
500000,Seminar/Webinar,Surabaya,4.0,Sedang (51-300 orang),Innovation,64,Event Organizer AJ
1200000,Wedding,Palembang,4.0,Kecil (10-50 orang),Romantic,38,Event Organizer AH
600000,Sport Event,Jakarta,1.4,Sedang (51-300 orang),Teamwork,15,Event Organizer AG
1200000,Party,Jakarta,1.2,Sedang (51-300 orang),Themed,44,Event Organizer W
1600000,Festival,Makassar,2.1,Sedang (51-300 orang),Celebration,9,Event Organizer O
700000,Competition,Makassar,1.6,Sedang (51-300 orang),Achievement,53,Event Organizer AD
350000,Competition,Makassar,4.1,Kecil (10-50 orang),Victory,11,Event Organizer AG
700000,Competition,Surabaya,1.8,Sedang (51-300 orang),Achievement,18,Event Organizer C
800000,Team Building,Medan,2.4,Sedang (51-300 orang),Engagement,88,Event Organizer G
1200000,Wedding,Medan,5.0,Kecil (10-50 orang),Romantic,87,Event Organizer Q
700000,Competition,Denpasar,3.6,Sedang (51-300 orang),Performance,92,Event Organizer F
600000,Sport Event,Semarang,3.8,Sedang (51-300 orang),Fitness,30,Event Organizer AM
750000,Seminar/Webinar,Semarang,4.1,Besar (300+ orang),Professional,70,Event Organizer L
